iter	Passed	Remaining
164	2428	12287
165	2441	12267
166	2454	12242
167	2468	12225
168	2483	12209
169	2498	12200
170	2514	12189
171	2529	12176
172	2541	12151
173	2554	12128
174	2569	12111
175	2588	12118
176	2601	12096
177	2613	12069
178	2625	12044
179	2638	12019
180	2650	11992
181	2663	11971
182	2675	11946
183	2689	11928
184	2703	11908
185	2713	11876
186	2728	11860
187	2740	11835
188	2752	11810
189	2763	11782
190	2774	11753
191	2788	11734
192	2800	11711
193	2820	11717
194	2832	11695
195	2844	11667
196	2856	11643
197	2868	11619
198	2882	11603
199	2894	11578
200	2905	11549
201	2918	11529
202	2930	11504
203	2943	11487
204	2954	11456
205	2967	11437
206	2979	11413
207	2994	11400
208	3008	11387
209	3022	11370
210	3038	11362
211	3053	11350
212	3069	11340
213	3083	11325
214	3096	11304
215	3110	11288
216	3121	11262
217	3133	11240
218	3148	11227
219	3163	11214
220	3176	11195
221	3187	11171
222	3205	11169
223	3217	11145
224	3230	11126
225	3243	11106
226	3256	11090
227	3267	11065
228	3280	11043
229	3292	11021
230	3305	11002
231	3315	10976
232	3330	10964
233	3343	10945
234	3356	10925
235	3368	10905
236	3380	10881
237	3392	10863
238	3405	10842
239	3420	10830
240	3435	10818
241	3447	10797
242	3459	10775
243	3471	10756
244	3484	10736
245	3495	10715
246	3508	10696
247	3521	10678
248	3534	10659
249	3545	10636
250	3560	10625
251	3574	10611
252	3593	10608
253	3605	10589
254	3618	10570
255	3632	10557
256	3651	10556
257	3663	10537
258	3675	10515
259	3689	10501
260	3701	10480
261	3713	10461
262	3728	10448
263	3739	10425
264	3752	10407
265	3766	10392
266	3781	10382
267	3795	10367
268	3806	10344
269	3819	10327
270	3834	10314
271	3848	10300
272	3861	10281
273	3872	10261
274	3885	10243
275	3898	10227
276	3911	10209
277	3922	10188
278	3934	10168
279	3948	10152
280	3961	10136
281	3978	10128
282	3990	10110
283	4001	10089
284	4015	10073
285	4027	10055
286	4041	10041
287	4057	10029
288	4068	10009
289	4081	9993
290	4094	9974
291	4106	9957
292	4123	9949
293	4137	9934
294	4151	9920
295	4163	9903
296	4178	9891
297	4193	9879
298	4210	9870
299	4227	9863
300	4240	9847
301	4253	9832
302	4266	9813
303	4278	9794
304	4290	9777
305	4304	9761
306	4315	9741
307	4328	9724
308	4341	9707
309	4353	9689
310	4367	9675
311	4381	9660
312	4393	9643
313	4407	9629
314	4423	9619
315	4438	9606
316	4452	9594
317	4465	9577
318	4477	9558
319	4490	9542
320	4502	9525
321	4518	9514
322	4536	9509
323	4553	9500
324	4570	9492
325	4586	9481
326	4602	9472
327	4618	9462
328	4635	9453
329	4650	9442
330	4669	9437
331	4687	9431
332	4704	9423
333	4721	9414
334	4737	9404
335	4754	9395
336	4772	9388
337	4788	9378
338	4804	9367
339	4821	9359
340	4843	9360
341	4861	9353
342	4880	9348
343	4896	9336
344	4910	9323
345	4922	9303
346	4938	9293
347	4954	9283
348	4971	9272
349	4987	9262
350	5004	9252
351	5021	9244
352	5043	9244
353	5062	9237
354	5080	9229
355	5099	9224
356	5117	9216
357	5132	9204
358	5148	9193
359	5165	9182
360	5181	9172
361	5196	9158
362	5211	9145
363	5226	9132
364	5242	9119
365	5257	9107
366	5273	9094
367	5289	9083
368	5306	9074
369	5324	9065
370	5339	9053
371	5355	9041
372	5371	9028
373	5387	9017
374	5405	9009
375	5422	8999
376	5440	8990
377	5458	8981
378	5475	8972
379	5493	8962
380	5512	8955
381	5533	8952
382	5553	8946
383	5569	8933
384	5585	8922
385	5600	8909
386	5617	8898
387	5632	8884
388	5647	8871
389	5661	8855
390	5676	8842
391	5692	8829
392	5707	8815
393	5724	8804
394	5740	8792
395	5756	8779
396	5771	8765
397	5786	8752
398	5801	8738
399	5816	8724
400	5832	8712
401	5847	8698
402	5863	8685
403	5878	8671
404	5892	8656
405	5907	8643
406	5924	8632
407	5947	8629
408	5964	8618
409	5980	8605
410	5997	8594
411	6012	8581
412	6028	8568
413	6043	8554
414	6059	8542
415	6077	8531
416	6100	8528
417	6115	8515
418	6131	8502
419	6146	8488
420	6163	8476
421	6179	8463
422	6195	8450
423	6210	8436
424	6225	8422
425	6240	8408
426	6255	8394
427	6269	8378
428	6284	8365
429	6302	8353
430	6319	8343
431	6338	8334
432	6356	8323
433	6372	8311
434	6389	8299
435	6406	8286
436	6423	8275
437	6442	8265
438	6458	8253
439	6473	8239
440	6488	8225
441	6505	8212
442	6521	8200
443	6537	8186
444	6552	8172
445	6569	8160
446	6588	8150
447	6609	8143
448	6627	8132
449	6644	8120
450	6662	8109
451	6678	8096
452	6694	8083
453	6709	8069
454	6723	8052
455	6734	8034
456	6752	8023
457	6764	8005
458	6775	7985
459	6787	7968
460	6847	8006
461	6881	8013
462	6936	8044
463	6966	8047
464	6979	8029
465	6989	8009
466	7002	7992
467	7015	7975
468	7027	7956
469	7039	7937
470	7051	7919
471	7065	7903
472	7080	7888
473	7094	7872
474	7104	7852
475	7117	7834
476	7129	7817
477	7140	7797
478	7152	7779
479	7164	7761
480	7176	7743
481	7187	7724
482	7200	7707
483	7217	7694
484	7229	7676
485	7241	7658
486	7257	7645
487	7269	7626
488	7281	7609
489	7295	7593
490	7308	7576
491	7319	7557
492	7331	7539
493	7343	7521
494	7356	7504
495	7371	7490
496	7387	7476
497	7404	7463
498	7419	7449
499	7433	7433
500	7450	7420
501	7467	7407
502	7489	7399
503	7506	7387
504	7522	7373
505	7539	7360
506	7556	7347
507	7573	7334
508	7590	7322
509	7607	7308
510	7625	7296
511	7642	7284
512	7654	7266
513	7666	7249
514	7677	7230
515	7689	7212
516	7704	7197
517	7718	7181
518	7729	7163
519	7743	7147
520	7756	7130
521	7768	7113
522	7780	7095
523	7790	7077
524	7802	7059
525	7815	7042
526	7826	7024
527	7838	7007
528	7850	6990
529	7862	6972
530	7873	6954
531	7886	6937
532	7898	6920
533	7909	6902
534	7922	6885
535	7936	6870
536	7949	6853
537	7961	6836
538	7972	6819
539	7986	6802
540	8000	6788
541	8016	6773
542	8028	6757
543	8040	6740
544	8053	6723
545	8067	6707
546	8079	6690
547	8092	6674
548	8103	6656
549	8115	6640
550	8130	6625
551	8144	6609
552	8157	6594
553	8169	6576
554	8181	6560
555	8193	6543
556	8205	6526
557	8216	6508
558	8230	6493
559	8243	6477
560	8255	6460
561	8266	6442
562	8278	6425
563	8290	6408
564	8301	6391
565	8313	6374
566	8325	6358
567	8337	6341
568	8354	6327
569	8366	6311
570	8377	6294
571	8390	6277
572	8404	6263
573	8420	6249
574	8438	6236
575	8449	6219
576	8460	6202
577	8475	6188
578	8488	6171
579	8500	6155
580	8510	6137
581	8523	6121
582	8535	6105
583	8546	6087
584	8561	6073
585	8576	6058
586	8588	6042
587	8600	6026
588	8611	6009
589	8623	5992
590	8636	5976
591	8648	5960
592	8658	5942
593	8670	5926
594	8682	5910
595	8693	5892
596	8705	5876
597	8717	5860
598	8729	5844
599	8740	5827
600	8752	5811
601	8765	5794
602	8779	5779
603	8791	5763
604	8803	5747
605	8815	5731
606	8832	5718
607	8844	5702
608	8855	5685
609	8867	5669
610	8880	5654
611	8896	5640
612	8912	5626
613	8928	5613
614	8944	5599
615	8961	5586
616	8977	5572
617	8994	5559
618	9009	5545
619	9028	5533
620	9045	5520
621	9065	5509
622	9083	5496
623	9101	5484
624	9116	5470
625	9133	5456
626	9149	5443
627	9166	5430
628	9183	5416
629	9200	5403
630	9228	5396
631	9247	5384
632	9264	5371
633	9280	5357
634	9297	5344
635	9312	5329
636	9326	5314
637	9339	5299
638	9355	5285
639	9372	5272
640	9393	5260
641	9408	5246
642	9422	5231
643	9438	5217
644	9453	5203
645	9469	5189
646	9485	5175
647	9500	5160
648	9514	5145
649	9530	5131
650	9545	5117
651	9563	5104
652	9578	5090
653	9596	5076
654	9611	5062
655	9629	5049
656	9645	5035
657	9662	5022
658	9679	5008
659	9694	4994
660	9709	4979
661	9725	4965
662	9740	4951
663	9756	4936
664	9771	4922
665	9787	4908
666	9802	4894
667	9816	4878
668	9831	4864
669	9845	4849
670	9860	4834
671	9875	4820
672	9891	4806
673	9906	4791
674	9921	4776
675	9936	4762
676	9954	4749
677	9970	4735
678	9985	4720
679	10002	4707
680	10019	4693
681	10034	4678
682	10049	4664
683	10063	4649
684	10078	4634
685	10093	4620
686	10108	4605
687	10124	4591
688	10141	4577
689	10157	4563
690	10173	4549
691	10190	4535
692	10206	4521
693	10224	4508
694	10241	4494
695	10257	4480
696	10272	4465
697	10289	4451
698	10306	4437
699	10324	4424
700	10341	4411
701	10362	4398
702	10378	4384
703	10393	4369
704	10408	4355
705	10424	4340
706	10446	4329
707	10462	4315
708	10478	4300
709	10494	4286
710	10509	4271
711	10523	4256
712	10538	4242
713	10554	4227
714	10570	4213
715	10585	4198
716	10600	4184
717	10616	4169
718	10631	4154
719	10647	4140
720	10664	4126
721	10682	4113
722	10699	4099
723	10717	4085
724	10733	4071
725	10750	4057
726	10767	4043
727	10784	4029
728	10800	4015
729	10816	4000
730	10831	3985
731	10847	3971
732	10863	3956
733	10879	3942
734	10895	3928
735	10910	3913
736	10926	3899
737	10942	3884
738	10957	3870
739	10973	3855
740	10988	3840
741	11004	3826
742	11019	3811
743	11034	3796
744	11048	3781
745	11063	3767
746	11079	3752
747	11095	3738
748	11112	3724
749	11128	3709
750	11143	3694
751	11158	3679
752	11173	3665
753	11191	3651
754	11206	3636
755	11222	3621
756	11238	3607
757	11255	3593
758	11271	3578
759	11286	3564
760	11302	3549
761	11319	3535
762	11334	3520
763	11352	3506
764	11368	3492
765	11383	3477
766	11399	3462
767	11414	3448
768	11431	3433
769	11447	3419
770	11463	3404
771	11479	3390
772	11496	3376
773	11515	3362
774	11533	3348
775	11550	3334
776	11567	3319
777	11585	3305
778	11603	3291
779	11619	3277
780	11635	3262
781	11651	3247
782	11666	3233
783	11684	3219
784	11701	3204
785	11716	3189
786	11733	3175
787	11750	3161
788	11765	3146
789	11780	3131
790	11797	3117
791	11815	3103
792	11834	3089
793	11851	3074
794	11869	3060
795	11887	3046
796	11904	3032
797	11919	3017
798	11936	3002
799	11953	2988
800	11969	2973
801	11989	2959
802	12004	2945
803	12020	2930
804	12036	2915
805	12051	2900
806	12068	2886
807	12087	2872
808	12103	2857
809	12122	2843
810	12140	2829
811	12159	2815
812	12177	2801
813	12194	2786
814	12213	2772
815	12229	2757
816	12246	2743
817	12262	2728
818	12278	2713
819	12293	2698
820	12309	2683
821	12324	2668
822	12341	2654
823	12356	2639
824	12377	2625
825	12396	2611
826	12413	2596
827	12431	2582
828	12448	2567
829	12465	2553
830	12482	2538
831	12500	2524
832	12518	2509
833	12534	2494
834	12549	2479
835	12564	2464
836	12580	2449
837	12597	2435
838	12614	2420
839	12626	2405
840	12637	2389
841	12649	2373
842	12661	2358
843	12673	2342
844	12684	2326
845	12697	2311
846	12710	2295
847	12721	2280
848	12733	2264
849	12745	2249
850	12757	2233
851	12769	2218
852	12783	2202
853	12799	2188
854	12813	2173
855	12827	2157
856	12839	2142
857	12850	2126
858	12862	2111
859	12874	2095
860	12885	2080
861	12898	2064
862	12912	2049
863	12926	2034
864	12939	2019
865	12950	2003
866	12962	1988
867	12975	1973
868	12987	1957
869	12998	1942
870	13012	1927
871	13025	1911
872	13038	1896
873	13049	1881
874	13061	1865
875	13073	1850
876	13085	1835
877	13097	1819
878	13109	1804
879	13121	1789
880	13133	1773
881	13143	1758
882	13156	1743
883	13171	1728
884	13185	1713
885	13201	1698
886	13218	1683
887	13236	1669
888	13254	1654
889	13272	1640
890	13286	1625
891	13299	1610
892	13313	1595
893	13325	1580
894	13337	1564
895	13350	1549
896	13361	1534
897	13376	1519
898	13391	1504
899	13409	1489
900	13426	1475
901	13442	1460
902	13456	1445
903	13471	1430
904	13483	1415
905	13496	1400
906	13507	1385
907	13519	1369
908	13533	1354
909	13546	1339
910	13561	1324
911	13578	1310
912	13591	1295
913	13602	1279
914	13614	1264
915	13626	1249
916	13638	1234
917	13651	1219
918	13664	1204
919	13676	1189
920	13687	1174
921	13699	1158
922	13712	1143
923	13724	1128
924	13735	1113
925	13747	1098
926	13759	1083
927	13770	1068
928	13781	1053
929	13793	1038
930	13806	1023
931	13817	1008
932	13829	993
933	13843	978
934	13857	963
935	13867	948
936	13880	933
937	13893	918
938	13905	903
939	13916	888
940	13927	873
941	13940	858
942	13952	843
943	13965	828
944	13978	813
945	13991	798
946	14003	783
947	14013	768
948	14025	753
949	14037	738
950	14052	724
951	14063	709
952	14077	694
953	14089	679
954	14101	664
955	14112	649
956	14125	634
957	14137	619
958	14150	604
959	14160	590
960	14172	575
961	14185	560
962	14197	545
963	14208	530
964	14221	515
965	14233	500
966	14243	486
967	14256	471
968	14271	456
969	14283	441
970	14297	427
971	14309	412
972	14320	397
973	14333	382
974	14345	367
975	14356	353
976	14369	338
977	14387	323
978	14400	308
979	14413	294
980	14425	279
981	14435	264
982	14448	249
983	14460	235
984	14474	220
985	14487	205
986	14499	190
987	14511	176
988	14524	161
989	14535	146
990	14546	132
991	14559	117
992	14569	102
993	14581	88
994	14596	73
995	14608	58
996	14619	43
997	14631	29
998	14643	14
999	14656	0
